Zeit;Kanal A
(ms);(mV)

-23,86249908;0,37217020
-23,85749908;0,74434050
-23,85249908;0,74434050
-23,84749908;1,11712600
-23,84249908;0,55856290
-23,83749908;0,93073320
-23,83249908;0,55856290
-23,82749908;0,18577760
-23,82249908;0,93073320
-23,81749908;-0,37217020
-23,81249908;0,18577760
-23,80749908;-0,18577760
-23,80249908;2,23425200
-23,79749908;0,55856290
-23,79249908;0,55856290
-23,78749908;-0,18577760
-23,78249908;0,55856290
-23,77749908;0,37217020
-23,77249908;0,93073320
-23,76749908;0,93073320
-23,76249908;1,11712600
-23,75749908;1,11712600
-23,75249908;0,93073320
-23,74749908;0,18577760
-23,74249908;1,48929600
-23,73749908;0,18577760
-23,73249908;0,55856290
-23,72749908;1,11712600
-23,72249908;0,93073320
-23,71749908;1,30290300
-23,71249908;0,93073320
-23,70749908;0,93073320
-23,70249908;1,11712600
-23,69749908;1,30290300
-23,69249908;1,48929600
-23,68749909;0,93073320
-23,68249909;2,04785900
-23,67749909;1,11712600
-23,67249909;1,11712600
-23,66749909;1,48929600
-23,66249909;2,04785900
-23,65749909;1,11712600
-23,65249909;1,67568900
-23,64749909;1,67568900
-23,64249909;1,86146600
-23,63749909;1,67568900
-23,63249909;1,86146600
-23,62749909;2,04785900
-23,62249909;2,42002900
-23,61749909;2,42002900
-23,61249909;2,23425200
-23,60749909;1,86146600
-23,60249909;2,04785900
-23,59749909;2,97859200
-23,59249909;2,04785900
-23,58749909;2,42002900
-23,58249909;2,04785900
-23,57749909;2,79281500
-23,57249909;2,23425200
-23,56749909;3,53715500
-23,56249909;2,79281500
-23,55749909;2,23425200
-23,55249909;2,79281500
-23,54749909;2,04785900
-23,54249909;2,04785900
-23,53749909;2,04785900
-23,53249909;1,11712600
-23,52749909;1,86146600
-23,52249909;2,23425200
-23,51749909;2,04785900
-23,51249909;3,16498500
-23,50749909;1,48929600
-23,50249909;0,93073320
-23,49749909;1,48929600
-23,49249909;1,67568900
-23,48749909;2,04785900
-23,48249909;1,86146600
-23,47749909;2,23425200
-23,47249909;1,48929600
-23,46749909;1,86146600
-23,46249909;2,04785900
-23,45749909;2,42002900
-23,45249909;1,67568900
-23,44749909;2,42002900
-23,44249909;2,04785900
-23,43749909;2,42002900
-23,43249909;1,86146600
-23,42749909;1,67568900
-23,42249909;2,04785900
-23,41749909;1,86146600
-23,41249909;2,23425200
-23,40749909;2,23425200
-23,40249909;2,23425200
-23,39749909;2,04785900
-23,39249909;1,86146600
-23,38749909;1,86146600
-23,38249909;1,48929600
-23,37749909;1,86146600
-23,37249909;1,86146600
-23,36749909;1,67568900
