Zeit;Kanal A
(ms);(V)

0,00000000;1,33618400
0,00250400;1,33618400
0,00500800;1,33618400
0,00751200;1,33618400
0,01001600;1,33618400
0,01252000;1,33618400
0,01502400;1,33618400
0,01752800;1,33618400
0,02003200;1,33618400
0,02253600;1,35476100
0,02504000;1,33618400
0,02754400;1,33618400
0,03004800;1,33618400
0,03255200;1,33618400
0,03505600;1,33618400
0,03756000;1,33618400
0,04006400;1,35476100
0,04256800;1,33618400
0,04507200;1,33618400
0,04757600;1,33618400
0,05008000;1,33618400
0,05258400;1,33618400
0,05508800;1,33618400
0,05759200;1,33618400
0,06009600;1,33618400
0,06260000;1,33618400
0,06510400;1,33618400
0,06760800;1,33618400
0,07011200;1,33618400
0,07261600;1,33618400
0,07512000;1,33618400
0,07762400;1,33618400
0,08012800;1,33618400
0,08263200;1,33618400
0,08513600;1,33618400
0,08764000;1,33618400
0,09014400;1,33618400
0,09264800;1,35476100
0,09515200;1,33618400
0,09765600;1,33618400
0,10016000;1,33618400
0,10266400;1,33618400
0,10516800;1,33618400
0,10767200;1,35476100
0,11017600;1,33618400
0,11268000;1,33618400
0,11518400;1,35476100
0,11768800;1,35476100
0,12019199;1,33618400
0,12269599;1,35476100
0,12519999;1,35476100
0,12770399;1,35476100
0,13020799;1,35476100
0,13271199;1,35476100
0,13521599;1,35476100
0,13771999;1,35476100
0,14022399;1,33618400
0,14272799;1,35476100
0,14523199;1,35476100
0,14773599;1,35476100
0,15023999;1,35476100
0,15274399;1,33618400
0,15524799;1,35476100
0,15775199;1,33618400
0,16025599;1,35476100
0,16275999;1,35476100
0,16526399;1,35476100
0,16776799;1,35476100
0,17027199;1,35476100
0,17277599;1,35476100
0,17527999;1,35476100
0,17778399;1,33618400
0,18028799;1,35476100
0,18279199;1,35476100
0,18529599;1,35476100
0,18779999;1,35476100
0,19030399;1,35476100
0,19280799;1,33618400
0,19531199;1,35476100
0,19781599;1,33618400
0,20031999;1,35476100
0,20282399;1,35476100
0,20532799;1,33618400
0,20783199;1,33618400
0,21033599;1,35476100
0,21283999;1,33618400
0,21534399;1,35476100
0,21784799;1,33618400
0,22035199;1,35476100
0,22285599;1,35476100
0,22535999;1,50319900
0,22786399;1,33618400
0,23036799;1,33618400
0,23287199;1,33618400
0,23537599;1,33618400
0,23787999;1,35476100
0,24038399;1,33618400
0,24288799;1,33618400
0,24539199;1,33618400
0,24789599;1,33618400
0,25039999;1,33618400
0,25290399;1,33618400
0,25540799;1,33618400
0,25791199;1,35476100
0,26041599;1,33618400
0,26291999;1,35476100
0,26542399;1,33618400
0,26792799;1,35476100
0,27043199;1,33618400
0,27293599;1,33618400
0,27543999;1,33618400
0,27794399;1,33618400
0,28044799;1,33618400
0,28295199;1,35476100
0,28545599;1,35476100
0,28795999;1,33618400
0,29046399;1,33618400
0,29296799;1,33618400
0,29547199;1,33618400
0,29797599;1,31760600
0,30047999;1,33618400
0,30298399;1,33618400
0,30548799;1,33618400
0,30799199;1,31760600
0,31049599;1,33618400
0,31299999;1,33618400
0,31550399;1,33618400
0,31800799;1,33618400
