Zeit;Kanal A
(ms);(V)

0,00000000;0,87223180
0,00250400;0,87223180
0,00500800;0,87223180
0,00751200;0,87223180
0,01001600;0,89080950
0,01252000;0,87223180
0,01502400;0,87223180
0,01752800;0,87223180
0,02003200;0,87223180
0,02253600;0,89080950
0,02504000;0,87223180
0,02754400;0,87223180
0,03004800;0,87223180
0,03255200;0,89080950
0,03505600;0,87223180
0,03756000;0,87223180
0,04006400;0,87223180
0,04256800;0,85365400
0,04507200;0,87223180
0,04757600;0,87223180
0,05008000;0,89080950
0,05258400;0,87223180
0,05508800;0,87223180
0,05759200;0,89080950
0,06009600;0,87223180
0,06260000;0,87223180
0,06510400;0,87223180
0,06760800;0,87223180
0,07011200;0,87223180
0,07261600;0,87223180
0,07512000;0,87223180
0,07762400;0,89080950
0,08012800;0,87223180
0,08263200;0,87223180
0,08513600;0,87223180
0,08764000;0,87223180
0,09014400;0,87223180
0,09264800;0,87223180
0,09515200;0,87223180
0,09765600;0,87223180
0,10016000;0,87223180
0,10266400;0,87223180
0,10516800;0,89080950
0,10767200;0,89080950
0,11017600;0,89080950
0,11268000;0,87223180
0,11518400;0,87223180
0,11768800;0,89080950
0,12019199;0,89080950
0,12269599;0,87223180
0,12519999;0,87223180
0,12770399;0,87223180
0,13020799;0,87223180
0,13271199;0,87223180
0,13521599;0,87223180
0,13771999;0,87223180
0,14022399;0,87223180
0,14272799;0,87223180
0,14523199;0,89080950
0,14773599;0,87223180
0,15023999;0,87223180
0,15274399;0,89080950
0,15524799;0,87223180
0,15775199;0,89080950
0,16025599;0,89080950
0,16275999;0,89080950
0,16526399;0,89080950
0,16776799;0,89080950
0,17027199;0,89080950
0,17277599;0,90932580
0,17527999;0,87223180
0,17778399;0,89080950
0,18028799;0,89080950
0,18279199;0,89080950
0,18529599;0,89080950
0,18779999;0,89080950
0,19030399;0,89080950
0,19280799;0,89080950
0,19531199;0,89080950
0,19781599;0,89080950
0,20031999;0,89080950
0,20282399;0,89080950
0,20532799;0,89080950
0,20783199;0,89080950
0,21033599;0,89080950
0,21283999;0,87223180
0,21534399;0,87223180
0,21784799;0,89080950
0,22035199;0,89080950
0,22285599;0,89080950
0,22535999;0,89080950
0,22786399;0,87223180
0,23036799;0,89080950
0,23287199;0,87223180
0,23537599;0,89080950
0,23787999;0,89080950
0,24038399;0,87223180
0,24288799;0,89080950
0,24539199;0,89080950
0,24789599;0,89080950
0,25039999;0,89080950
0,25290399;0,89080950
0,25540799;0,89080950
0,25791199;0,89080950
0,26041599;0,89080950
0,26291999;0,89080950
0,26542399;0,89080950
0,26792799;0,87223180
0,27043199;0,77940450
0,27293599;0,87223180
0,27543999;0,89080950
0,27794399;0,87223180
0,28044799;0,87223180
0,28295199;0,89080950
0,28545599;0,87223180
0,28795999;0,87223180
0,29046399;0,89080950
0,29296799;0,89080950
0,29547199;0,87223180
0,29797599;0,87223180
0,30047999;0,87223180
0,30298399;0,87223180
0,30548799;0,87223180
0,30799199;0,87223180
0,31049599;0,87223180
0,31299999;0,89080950
0,31550399;0,89080950
0,31800799;0,89080950
